windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
0,1774266519.081578,1774266519.309655,4,4,243.25,284.05677249451384,60,667,123.0,1,1,4266.104333573066,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,33871.5,4,0.019312500000000003,0.02108246820622924,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,0.0155335,0.019112389188691195,0.019312500000000003,0.02108246820622924,movingAroundHouse
1,1774266530.671453,1774266530.972162,2,2,229.5,201.52543263816605,87,372,229.5,1,0,1526.3925788791412,2,2,185.0,98.99494936611666,215.5,201.52543263816605,2,2,175.5,201.52543263816605,2,1.0,33859.0,2,0.025999,0.012447907776007981,0,0,1,1,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.034801,,0.025999,0.012447907776007981,bulbEvent
2,1774266534.671089,1774266534.85619,2,2,230.0,202.2325394193526,87,373,230.0,1,0,2485.1293069026365,2,2,185.0,98.99494936611666,216.0,202.2325394193526,2,2,176.0,202.2325394193526,2,1.0,33150.5,2,0.033774,0.008066674159776133,1,1,0,0,0,0,0,0,0,0,0,0,0,171.0,202.2325394193526,0.02807,,0.033774,0.008066674159776133,bulbEvent
3,1774266539.97323,1774266540.451135,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1083.8973478894018,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23267.333333333332,3,0.066019,0.06925265812226994,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.039265,0.015659586776157284,0.066019,0.06925265812226994,bulbEvent
4,1774266543.671764,1774266543.801524,1,1,373.0,,373,373,373.0,0,0,2874.5370112796804,1,1,255.0,,359.0,,1,1,319.0,,1,1.0,2244.0,1,0.002212,,0,0,0,0,0,0,0,0,0,1,0,0,0,314.0,,,,0.002212,,plugOff
5,1774266554.802528,1774266554.955005,1,1,372.0,,372,372,372.0,0,0,2439.711803106945,1,1,255.0,,358.0,,1,1,318.0,,1,1.0,2211.0,1,0.073749,,0,0,0,0,0,0,0,0,0,1,0,0,0,313.0,,,,0.073749,,plugOn
6,1774266556.857255,1774266557.277382,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1232.9607590770313,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23245.333333333332,3,0.04420166666666667,0.021399081670327197,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.127018,0.13976248372864586,0.04420166666666667,0.021399081670327197,bulbEvent
9,1774266559.0,1774266574.532776,2969,2959,1079.1902997642303,915.0381046593907,60,17202,1494.0,915,2002,206280.9619992023,11,11,60.22970697204446,10.538840686744187,1065.1781744695184,915.051654225511,7,7,1016.3311929705982,914.9936527249836,2050,0.6928016221696519,2658.668469077391,2952,0.0018924600875715731,0.005432084094868175,1,2,0,0,905,2057,2,2,0,0,0,0,3,5067.30583501006,4768.956096783714,0.018526771775082693,0.005048258774603518,0.0018727255829672185,0.005378800274524949,outsideDetection
7,1774266568.716819,1774266568.943544,43,43,945.9302325581396,691.6611954579537,60,1494,1494.0,14,27,179402.46805047148,4,4,71.02325581395348,43.25752803853255,931.7906976744187,691.8447581901709,3,3,880.9069767441861,690.6897799251291,29,0.6744186046511628,5395.604651162791,43,0.0016688139534883721,0.004480401625576364,0,0,0,0,13,26,2,2,0,0,0,0,0,6631.2,8748.148329789567,0.017916799999999997,0.004991599059562834,0.0016688139534883721,0.004480401625576364,movingAroundHouse
8,1774266573.451909,1774266573.625944,29,29,977.1379310344828,714.4653707562405,66,2323,1418.0,10,19,162823.7253638923,2,2,59.172413793103445,6.772153938409644,963.1379310344828,714.4653707562405,2,2,911.1379310344828,714.4653707562405,19,0.6551724137931034,2470.0689655172414,29,0.005088,0.007120022607307609,0,0,0,0,10,19,0,0,0,0,0,0,0,3297.875,3468.338937033527,0.016896,0.002702968738257993,0.005088,0.007120022607307609,bulbEvent
10,1774266580.957045,1774266581.080851,1,1,373.0,,373,373,373.0,0,0,3012.7780619319055,1,1,255.0,,359.0,,1,1,319.0,,1,1.0,2178.0,1,0.118663,,0,0,0,0,0,0,0,0,0,1,0,0,0,314.0,,,,0.118663,,plugOff
11,1774266581.626344,1774266581.752612,2,2,230.0,202.2325394193526,87,373,230.0,1,0,3643.0406697796666,2,2,185.0,98.99494936611666,216.0,202.2325394193526,2,2,176.0,202.2325394193526,2,1.0,33117.5,2,0.018748,0.013995057413244149,1,1,0,0,0,0,0,0,0,0,0,0,0,171.0,202.2325394193526,0.028644,,0.018748,0.013995057413244149,bulbEvent
12,1774266581.752928,1774266581.982865,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,2261.4882634852233,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,22779.666666666668,3,0.037619,0.04518389897961441,1,2,0,0,0,0,0,0,0,0,0,0,0,171.0,202.2325394193526,0.07961533333333333,0.04724099831008372,0.037619,0.04518389897961441,bulbEvent
13,1774266588.081505,1774266588.226771,1,1,372.0,,372,372,372.0,0,0,2560.8184739614962,1,1,255.0,,358.0,,1,1,318.0,,1,1.0,2145.0,1,0.025492,,0,0,0,0,0,0,0,0,0,1,0,0,0,313.0,,,,0.025492,,plugOn
14,1774266591.254645,1774266591.481633,5,5,206.6,259.29192042946494,60,667,123.0,2,1,4550.904602250288,2,2,199.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,27727.0,5,0.021881,0.03336544531397716,0,0,0,0,0,0,2,3,0,0,0,0,0,245.33333333333334,314.0785464391564,0.03709766666666667,0.039046100961982536,0.021881,0.03336544531397716,movingAroundHouse
15,1774266604.753621,1774266605.091461,2,2,229.0,200.8183258569795,87,371,229.0,1,0,1355.6719583515348,2,2,185.0,98.99494936611666,215.0,200.8183258569795,2,2,175.0,200.8183258569795,2,1.0,33068.0,2,0.0133195,0.004735494113606307,1,1,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.027182,,0.0133195,0.004735494113606307,bulbEvent
16,1774266617.091927,1774266617.483899,3,3,172.33333333333334,171.71585055938584,60,370,87.0,2,0,1318.9715446610505,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,22713.666666666668,3,0.01915,0.007799336958998503,1,2,0,0,0,0,0,0,0,0,0,0,0,169.5,200.11121907579295,0.049373,0.033409381197502,0.01915,0.007799336958998503,bulbEvent
17,1774266619.983468,1774266620.112846,1,1,371.0,,371,371,371.0,0,0,2867.5698590251545,1,1,255.0,,357.0,,1,1,317.0,,1,1.0,2053.0,1,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,312.0,,,,0.0,,bulbEvent
18,1774266621.227727,1774266621.356896,1,1,373.0,,373,373,373.0,0,0,2887.6900552628954,1,1,255.0,,359.0,,1,1,319.0,,1,1.0,2112.0,1,0.021,,0,0,0,0,0,0,0,0,0,1,0,0,0,314.0,,,,0.021,,plugOff
19,1774266628.358408,1774266628.500704,1,1,372.0,,372,372,372.0,0,0,2614.26745505024,1,1,255.0,,358.0,,1,1,318.0,,1,1.0,2079.0,1,0.002231,,0,0,0,0,0,0,0,0,0,1,0,0,0,313.0,,,,0.002231,,plugOn
20,1774266642.485082,1774266642.775286,2,2,229.0,200.8183258569795,87,371,229.0,1,0,1578.1999007561592,2,2,185.0,98.99494936611666,215.0,200.8183258569795,2,2,175.0,200.8183258569795,2,1.0,33019.5,2,0.0772725,0.07215812569974361,1,1,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.026249,,0.0772725,0.07215812569974361,bulbEvent
