windowID,windowStart,windowEnd,packetCount,tcpPacketCount,tcpRatio,udpPacketCount,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,maxTCPWindowSize,synCount,ackCount,finCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,minTLSRecordLen,maxTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,minACKRoundTripTime,maxACKRoundTripTime,ACKRoundTripTimeCount,avgTimeDelta,stdTimeDelta,minTimeDelta,maxTimeDelta,tlsContentTypeChanegCipherCount,tlsContentTypeAlertCount,tlsContentTypeHandshakeCount,tlsContentTypeAppDataCount,label
9441,1773863533.0,1776245554.384285,1208856,1156787,0.9569270450740204,44273,0.03662388241444804,701.2668051446988,799.9205446615387,60,51474,232.0,519979,511687,355.88705903010555,327,339,89.38441165780952,66.36890400728073,687.4277306381362,800.318344176514,7219,7211,664.0552063603758,806.4395056678233,708166,0.6121835739855306,6593,9066.270702385142,0.0,65535.0,14959,1147602,14824,3577,2532,0.007557417345821172,0.022941601645082247,0.0,0.518813,15462,11643,14271,10570,278719,533062,53827,45466,3035,5573,101877,132975,7272,2162.0744924267424,3871.928429022225,1.0,65387.0,0.06650160104514401,0.8767589499085588,1.5e-05,223.740034,469409,0.0073696115309041296,0.022698729638240427,0.0,0.518813,6666,2116,43462,222877,idle
0,1774266519.081578,1774266519.309655,4,4,1.0,0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,4266.104333573066,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33871.5,2139.0,65535.0,0,4,0,0,0,0.019312500000000003,0.02108246820622924,0.001749,0.044434,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.0155335,0.019112389188691195,0.002019,0.029048,2,0.019312500000000003,0.02108246820622924,0.001749,0.044434,0,0,0,3,movingAroundHouse
5380,1774266519.309655,1774266530.671453,6,6,1.0,0,0.0,134.0,93.8892965145655,60,315,123.0,2,0,70.7634475284617,2,2,208.33333333333334,72.29568912920512,118.0,95.81231653602788,2,2,78.0,95.81231653602788,4,0.6666666666666666,1,23225.0,2001.0,65535.0,0,6,0,0,0,0.043299333333333336,0.043954416663933404,0.00023,0.10207,0,0,0,0,0,0,2,4,0,0,0,0,0,112.0,96.0,64.0,256.0,0.080014,0.05150225009324027,0.031767,0.127204,4,0.043299333333333336,0.043954416663933404,0.00023,0.10207,0,0,0,4,idle
1,1774266530.671453,1774266530.972162,2,2,1.0,0,0.0,229.5,201.52543263816605,87,372,229.5,1,0,1526.3925788791412,2,2,185.0,98.99494936611666,215.5,201.52543263816605,2,2,175.5,201.52543263816605,2,1.0,1,33859.0,2183.0,65535.0,0,2,0,0,0,0.025999,0.012447907776007981,0.017197,0.034801,0,0,1,1,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,28.0,313.0,0.034801,,0.034801,0.034801,1,0.025999,0.012447907776007981,0.017197,0.034801,0,0,0,2,bulbOff
5381,1774266530.972162,1774266534.671089,1,1,1.0,0,0.0,60.0,,60,60,60.0,1,0,16.220920609105438,1,1,255.0,,40.0,,1,1,0.0,,0,0.0,1,2150.0,2150.0,2150.0,0,1,0,0,0,0.009017,,0.009017,0.009017,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0.106311,,0.106311,0.106311,1,0.009017,,0.009017,0.009017,0,0,0,0,idle
2,1774266534.671089,1774266534.85619,2,2,1.0,0,0.0,230.0,202.2325394193526,87,373,230.0,1,0,2485.1293069026365,2,2,185.0,98.99494936611666,216.0,202.2325394193526,2,2,176.0,202.2325394193526,2,1.0,1,33150.5,2269.0,64032.0,0,2,0,0,0,0.033774,0.008066674159776133,0.02807,0.039478,1,1,0,0,0,0,0,0,0,0,0,0,0,171.0,202.2325394193526,28.0,314.0,0.02807,,0.02807,0.02807,1,0.033774,0.008066674159776133,0.02807,0.039478,0,0,0,2,bulbChange
5382,1774266534.85619,1774266539.97323,1,1,1.0,0,0.0,60.0,,60,60,60.0,1,0,11.725529007188891,1,1,255.0,,40.0,,1,1,0.0,,0,0.0,1,2236.0,2236.0,2236.0,0,1,0,0,0,0.014017,,0.014017,0.014017,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0.120363,,0.120363,0.120363,1,0.014017,,0.014017,0.014017,0,0,0,0,idle
3,1774266539.97323,1774266540.451135,3,3,1.0,0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1083.8973478894018,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23267.333333333332,2117.0,65535.0,0,3,0,0,0,0.066019,0.06925265812226994,0.023918,0.145947,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,28.0,312.0,0.039265,0.015659586776157284,0.028192,0.050338,2,0.066019,0.06925265812226994,0.023918,0.145947,0,0,0,2,bulbOn
4,1774266543.671764,1774266543.801524,1,1,1.0,0,0.0,373.0,,373,373,373.0,0,0,2874.5370112796804,1,1,255.0,,359.0,,1,1,319.0,,1,1.0,1,2244.0,2244.0,2244.0,0,1,0,0,0,0.002212,,0.002212,0.002212,0,0,0,0,0,0,0,0,0,1,0,0,0,314.0,,314.0,314.0,,,,,0,0.002212,,0.002212,0.002212,0,0,0,1,plugOff
5383,1774266543.801524,1774266554.802528,10,2,0.2,8,0.8,70.7,6.532823109328598,60,87,70.0,10,0,64.2668615741277,3,3,241.0,44.27188724235731,56.1,7.781031065639336,2,2,16.5,23.33452377915607,1,0.5,1,33873.0,2211.0,65535.0,0,2,0,1,1,0.0668208,0.0676977386144553,0.001321,0.190804,0,0,0,0,0,0,0,8,1,1,0,0,0,28.0,,28.0,28.0,0.12422549999999999,0.1363337229466723,0.027823,0.220628,2,0.053998000000000004,0.07449652782512753,0.001321,0.106675,0,0,0,1,idle
5,1774266554.802528,1774266554.955005,1,1,1.0,0,0.0,372.0,,372,372,372.0,0,0,2439.711803106945,1,1,255.0,,358.0,,1,1,318.0,,1,1.0,1,2211.0,2211.0,2211.0,0,1,0,0,0,0.073749,,0.073749,0.073749,0,0,0,0,0,0,0,0,0,1,0,0,0,313.0,,313.0,313.0,,,,,0,0.073749,,0.073749,0.073749,0,0,0,1,plugOn
5384,1774266554.955005,1774266556.857255,2,2,1.0,0,0.0,73.5,19.091883092036785,60,87,73.5,2,0,77.27690683157415,2,2,185.0,98.99494936611666,56.5,23.33452377915607,2,2,16.5,23.33452377915607,1,0.5,1,33856.5,2178.0,65535.0,0,2,0,0,0,0.0075455,0.0008831763697019979,0.006921,0.00817,0,0,0,0,0,0,0,0,1,1,0,0,0,28.0,,28.0,28.0,0.07667650000000001,0.07125868587407433,0.026289,0.127064,2,0.0075455,0.0008831763697019979,0.006921,0.00817,0,0,0,1,idle
6,1774266556.857255,1774266557.277382,3,3,1.0,0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1232.9607590770313,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23245.333333333332,2084.0,65535.0,0,3,0,0,0,0.04420166666666667,0.021399081670327197,0.024369,0.066882,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,28.0,312.0,0.127018,0.13976248372864586,0.028191,0.225845,2,0.04420166666666667,0.021399081670327197,0.024369,0.066882,0,0,0,2,bulbChange
5385,1774266557.277382,1774266568.716819,1710,1708,0.9988304093567252,2,0.0011695906432748538,1080.9105263157894,877.8080256896719,60,12918,1494.0,517,1161,161577.6174657038,5,5,60.10643274853801,8.070658892307232,1066.9035087719299,877.8162159579869,4,4,1015.9033957845434,877.8567829531548,1196,0.7002341920374707,3,2604.2002341920374,0.0,65160.0,4,1704,2,2,2,0.001938461403508772,0.005491270480101705,0.0,0.134856,0,0,0,0,509,1201,0,0,0,0,0,0,2,5190.874193548387,4327.6675916103195,26.0,16408.0,0.018805144531249998,0.006080516344220937,0.00107,0.070939,512,0.0019148899297423887,0.00540770806001897,0.0,0.134856,0,2,6,302,idle
